rank,dataset,domain,frequency,T,C,ADF_p,spectral_entropy,VoV,rank_H_s,rank_VoV,score
1,Illness,Healthcare,1 Week,966,7,0.0722,0.5176,0.9995,12,11,23
2,BeijingAirQuality,Environment,1 Hour,36000,7,0.0000,0.6089,0.9100,13,10,23
3,COVID19,Epidemiology,1 Day,1143,8,0.0438,0.5016,1.4648,10,13,23
4,Weather,Climatology,10 Min,52696,21,0.0033,0.4514,1.6813,7,14,21
5,VIX,Finance,1 Day,9165,1,0.0000,0.4965,0.8722,9,9,18
6,NABCPU,Cloud Ops,5 Min,4031,3,0.1374,0.7754,0.3955,14,3,17
7,Sunspots,Solar Physics,1 Month,3327,1,0.0002,0.5030,0.5573,11,6,17
8,ETTh1,Energy,1 Hour,14400,7,0.0165,0.4686,0.4786,8,5,13
9,ETTh2,Energy,1 Hour,14400,7,0.0249,0.3586,0.6536,5,8,13
10,ExchangeRate,Finance,1 Day,7588,8,0.5499,0.2067,1.3221,1,12,13
11,ETTm2,Energy,15 Min,57600,7,0.0249,0.3126,0.6411,4,7,11
12,ETTm1,Energy,15 Min,57600,7,0.0165,0.4114,0.4743,6,4,10
13,Solar,Energy,10 Min,52560,137,0.0000,0.2454,0.3006,3,2,5
14,PEMS08,Traffic,5 Min,17856,170,0.0000,0.2268,0.1391,2,1,3
